06/05/1987,28.8,661.7,100.1,29.0,null
07/05/1987,29.6,523.4,100.0,23.0,null
09/05/1987,26.4,620.4,100.2,38.0,null
10/05/1987,27.3,649.1,99.9,36.0,null
11/05/1987,29.1,635.9,99.8,32.0,null
12/05/1987,29.1,637.5,99.7,34.0,null
13/05/1987,28.7,667.8,99.8,35.0,null
14/05/1987,29.1,593.1,99.8,34.0,null
15/05/1987,27.1,566.6,99.8,46.0,null
16/05/1987,22.9,629.7,99.9,50.0,null
17/05/1987,19.4,682.1,99.7,48.0,null
18/05/1987,18.5,713.6,99.9,52.0,null
19/05/1987,16.6,388.0,99.9,64.0,null
20/05/1987,16.0,271.0,100.0,63.0,null
21/05/1987,18.6,627.0,100.4,56.0,null
22/05/1987,20.2,666.0,100.4,50.0,null
23/05/1987,20.3,697.4,100.2,38.0,null
25/05/1987,15.1,572.7,100.0,48.0,null
26/05/1987,16.4,630.0,100.1,52.0,null
27/05/1987,17.9,701.9,100.2,52.0,null
28/05/1987,20.0,664.8,100.3,44.0,null
29/05/1987,20.0,667.1,100.3,45.0,null
30/05/1987,21.0,657.0,100.3,39.0,null
31/05/1987,21.4,737.9,100.4,49.0,null
01/06/1987,23.7,738.4,100.2,40.0,null
02/06/1987,28.6,720.3,100.1,33.0,null
03/06/1987,30.3,693.0,100.1,31.0,null
04/06/1987,27.7,647.5,100.1,37.0,null
05/06/1987,23.4,452.7,100.1,52.0,null
06/06/1987,25.9,444.4,100.1,51.0,null
07/06/1987,26.8,603.9,100.0,45.0,null
08/06/1987,26.8,720.0,100.0,39.0,null
09/06/1987,27.1,738.7,99.8,37.0,null
10/06/1987,27.5,711.2,99.6,34.0,null
11/06/1987,27.5,685.2,99.8,37.0,null
12/06/1987,29.3,733.9,100.2,33.0,null
13/06/1987,28.5,679.3,100.1,36.0,null
15/06/1987,21.3,738.9,100.4,46.0,null
16/06/1987,22.5,715.9,100.2,44.0,null
17/06/1987,22.4,734.1,100.3,37.0,null
18/06/1987,22.5,746.3,100.4,40.0,null
19/06/1987,24.4,750.9,100.1,37.0,null
20/06/1987,22.5,721.0,100.1,41.0,null
22/06/1987,23.5,713.0,100.2,42.0,null
23/06/1987,27.3,711.8,100.0,33.0,null
24/06/1987,29.6,726.3,100.0,28.0,null
25/06/1987,30.8,714.5,99.9,31.0,null
26/06/1987,31.0,691.1,100.0,31.0,null
27/06/1987,28.9,678.5,100.0,31.0,null
28/06/1987,26.1,725.5,100.0,37.0,null
29/06/1987,25.4,743.0,99.9,43.0,null
30/06/1987,24.9,718.7,99.9,42.0,null
01/07/1987,23.5,742.1,100.2,44.0,null
02/07/1987,24.7,739.1,100.1,38.0,null
04/07/1987,22.7,724.8,100.1,40.0,null
05/07/1987,24.7,750.6,100.0,36.0,null
06/07/1987,26.1,747.0,100.0,33.0,null
07/07/1987,28.5,714.4,99.9,33.0,null
08/07/1987,26.9,735.6,99.6,36.0,null
09/07/1987,28.4,675.1,99.5,36.0,null
10/07/1987,26.2,738.0,99.6,39.0,null
11/07/1987,25.0,733.7,100.0,43.0,null
12/07/1987,27.4,704.3,100.2,41.0,null
14/07/1987,31.7,681.2,99.8,34.0,null
15/07/1987,32.2,698.8,99.6,30.0,null
16/07/1987,27.8,719.3,99.4,32.0,null
18/07/1987,20.6,709.0,100.3,42.0,null
19/07/1987,22.8,662.7,100.0,36.0,null
20/07/1987,22.1,536.9,99.9,36.0,null
21/07/1987,20.3,592.3,100.4,42.0,null
22/07/1987,21.8,728.5,100.4,37.0,null
23/07/1987,24.1,704.4,100.0,33.0,null
24/07/1987,24.8,655.4,99.9,36.0,null
25/07/1987,24.9,718.8,100.0,34.0,null
26/07/1987,25.4,702.6,99.8,31.0,null
27/07/1987,25.6,685.0,99.8,33.0,null
28/07/1987,25.9,714.8,99.8,30.0,null
30/07/1987,25.0,707.1,99.9,32.0,null
31/07/1987,26.6,701.9,100.0,30.0,null
01/08/1987,29.3,707.1,99.9,28.0,null
02/08/1987,31.1,665.9,99.7,28.0,null
03/08/1987,31.3,659.2,99.7,30.0,null
04/08/1987,31.8,679.5,99.8,23.0,null
05/08/1987,31.3,695.6,99.7,25.0,null
06/08/1987,30.5,693.8,99.6,24.0,null
07/08/1987,28.0,682.9,99.7,31.0,null
08/08/1987,27.6,683.6,99.9,36.0,null
09/08/1987,28.3,683.8,99.9,34.0,null
10/08/1987,27.0,646.9,100.0,37.0,null
11/08/1987,26.1,674.0,100.0,36.0,null
12/08/1987,25.3,655.2,100.0,39.0,null
13/08/1987,24.1,670.3,99.7,37.0,null
15/08/1987,21.4,643.8,100.3,49.0,null
16/08/1987,25.0,640.7,100.3,41.0,null
17/08/1987,27.4,647.9,100.2,36.0,null
18/08/1987,25.7,651.8,100.2,40.0,null
19/08/1987,22.9,532.2,100.3,50.0,null
20/08/1987,22.4,471.2,100.2,50.0,null
21/08/1987,22.9,632.3,100.4,41.0,null
22/08/1987,23.0,620.6,100.5,42.0,null
23/08/1987,23.0,585.6,100.4,44.0,null
24/08/1987,24.1,640.0,100.2,39.0,null
25/08/1987,26.1,582.4,100.2,34.0,null
26/08/1987,27.4,569.6,100.3,38.0,null
27/08/1987,27.2,604.1,100.3,41.0,null
28/08/1987,28.7,568.4,100.2,38.0,null
29/08/1987,30.3,559.5,100.1,32.0,null
30/08/1987,30.8,570.5,100.2,32.0,null
31/08/1987,30.6,536.8,100.3,37.0,null
01/09/1987,31.0,542.1,100.4,36.0,null
02/09/1987,30.6,478.0,100.1,40.0,null
03/09/1987,29.7,557.2,100.0,30.0,null
